#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.1,-1
1,1,5,226,116.065,0.024117,2.82333,0,0
1,1,5,226,116.065,0.024117,2.82333,0.075,1
1,1,5,226,116.065,0.024117,2.82333,0.005,0
1,1,5,226,116.065,0.024117,2.82333,0.025,0
1,1,5,226,116.065,0.024117,2.82333,0.001,0
1,1,5,226,116.065,0.024117,2.82333,0.1,1
1,1,5,226,116.065,0.024117,2.82333,0.05,0
1,1,5,226,116.065,0.024117,2.82333,0.01,0
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.001,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.075,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.01,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.05,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.1,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.005,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.025,-1
0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.005,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.001,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.075,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.01,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.05,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.1,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0,-1
1,1,5,63.45,39.2988,0.0329036,3.29027,0.025,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.075,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.005,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.01,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.025,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.1,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.05,-1
2.28571E-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.001,-1
1,1,5,119.75,62.375,0.0801603,1.91984,0.025,1
1,1,5,119.75,62.375,0.0801603,1.91984,0.005,0
1,1,5,119.75,62.375,0.0801603,1.91984,0.1,1
1,1,5,119.75,62.375,0.0801603,1.91984,0.05,0
1,1,5,119.75,62.375,0.0801603,1.91984,0.01,0
1,1,5,119.75,62.375,0.0801603,1.91984,0.075,1
1,1,5,119.75,62.375,0.0801603,1.91984,0.001,0
1,1,5,119.75,62.375,0.0801603,1.91984,0,0
1,1,5,192.85,121.372,0.00347735,3.76479,0.025,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0.001,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0.1,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0.005,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0.075,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0.01,-1
1,1,5,192.85,121.372,0.00347735,3.76479,0.05,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.01,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.025,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.05,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.001,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.075,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.1,-1
2.28571E-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.005,-1
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.025,1
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.075,1
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.1,1
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.05,0
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.01,0
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0,0
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.001,0
0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.005,0
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.025,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.005,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.05,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.001,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.1,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.075,-1
2.28571E-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.01,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.001,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.075,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.005,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.1,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.05,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.01,-1
2.28571E-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.025,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.075,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.01,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.025,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.05,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.1,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.005,-1
0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.001,-1
2.28571E-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.01,0
2.28571E-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.1,1
2.28571E-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.075,1
2.28571E-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0,0
