#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.001,22,1.04,1.07,13.16,1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.1,-1,-1,-1,-1,-1
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.075,-1,-1,-1,-1,-1
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0,53,1.03,1.07,37.69,0
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.01,24,1.09,1.13,14.25,1
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.05,-1,-1,-1,-1,-1
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.001,53,1.04,1.07,31.02,0
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.1,-1,-1,-1,-1,-1
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.025,23,1.11,1.15,13.8,1
1.37,9.24,1e0,1,1,1,9.24,5.14673,0.164821,2.08643,0.005,34,1.07,1.11,22.26,0
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.025,30,1.31,1.36,16.71,1
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.075,-1,-1,-1,-1,-1
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.001,139,1.13,1.17,145.7,0
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0,173,1.03,1.07,196.9,0
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.1,-1,-1,-1,-1,-1
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.01,52,1.27,1.31,32.06,0
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.05,-1,-1,-1,-1,-1
23.95,72.79,1e0,1,1,1,72.79,39.4224,0.00217266,3.78764,0.005,71,1.23,1.27,58.27,0
1.37,4.89,1e0,1,1,1,4.89,2.97424,0.286547,1.91967,0.075,-1,-1,-1,-1,-1
1.37,4.89,1e0,1,1,1,4.89,2.97424,0.286547,1.91967,0.01,28,1.07,1.11,16.73,1
