%labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst,Pred,Pr -1,Pr 0,Pr 1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.075,-1,-1,-1,-1,-1,-1,0.917885,0,0.0821154
1,1,1,32.9,17.0363,0.0367583,2.67266,0.001,65,1.08,1.12,40.5,0,0,0,1,0
1,1,1,32.9,17.0363,0.0367583,2.67266,0.005,34,1.1,1.14,20.77,0,0,0,0.786258,0.213742
1,1,1,32.9,17.0363,0.0367583,2.67266,0,120,1.03,1.07,124,0,0,0,0.9663,0.0336996
1,1,1,32.9,17.0363,0.0367583,2.67266,0.025,23,1.12,1.16,10.69,1,1,0,0,1
1,1,1,32.9,17.0363,0.0367583,2.67266,0.05,-1,-1,-1,-1,-1,-1,0.901327,0,0.0986731
1,1,1,32.9,17.0363,0.0367583,2.67266,0.1,-1,-1,-1,-1,-1,-1,0.867575,0,0.132425
1,1,1,2.59,1.795,0.557103,1.4429,0.01,22,1.04,1.07,11.31,1,1,0.0348313,0.145506,0.819663
1,1,1,2.59,1.795,0.557103,1.4429,0,18,1.03,1.07,13.35,1,1,0,0.0794742,0.920526
1,1,1,2.59,1.795,0.557103,1.4429,0.075,-1,-1,-1,-1,-1,-1,0.904229,0,0.0957715
1,1,1,2.59,1.795,0.557103,1.4429,0.025,18,1.11,1.15,11.53,1,1,0,0.0348313,0.965169
1,1,1,2.59,1.795,0.557103,1.4429,0.005,22,1.04,1.07,10.66,1,1,0,0.206478,0.793522
1,1,1,2.59,1.795,0.557103,1.4429,0.05,-1,-1,-1,-1,-1,-1,0.880887,0,0.119113
1,1,1,2.59,1.795,0.557103,1.4429,0.001,22,1.04,1.07,13.16,1,1,0,0.328924,0.671076
1,1,1,2.59,1.795,0.557103,1.4429,0.1,-1,-1,-1,-1,-1,-1,0.906543,0,0.0934568
1,1,1,9.24,5.14673,0.164821,2.08643,0.075,-1,-1,-1,-1,-1,-1,0.899102,0,0.100898
1,1,1,9.24,5.14673,0.164821,2.08643,0,53,1.03,1.07,37.69,0,0,0,0.900108,0.0998922
