#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
4.18,62.10,1e-2,0.022567,2.2567,5,310.5,158.913,0.0122377,3.17665,0.05,22,1.4,1.46,8.86,0
3.56,45.20,1e0,1,1,5,226,116.447,0.0189869,3.05521,0.05,23,1.4,1.45,11.81,0
3.56,32.90,1e4,0.000177764,1.77764,5,164.5,85.7354,0.0258759,3.03069,0.05,21,1.4,1.46,8.505,0
1.89,23.95,1e-6,2.28571e-06,2.28571,5,119.75,62.6928,0.0554743,2.51107,0.05,21,1.39,1.44,7.539,0
52.98,85.32,1e-2,0.022567,2.2567,5,426.6,255.143,0.000858451,3.88042,0.05,22,1.42,1.47,7.861,1
3.56,7.88,1e2,0.0176406,1.76406,5,39.4,23.7028,0.098783,2.77114,0.05,18,1.41,1.46,6.877,0
1.89,7.88,1e-2,0.022567,2.2567,5,39.4,22.5726,0.155865,2.32133,0.05,19,1.4,1.45,8.725,0
1.37,12.69,1e4,0.000177764,1.77764,5,63.45,34.3554,0.123284,2.14334,0.05,18,1.37,1.42,12.02,0
2.21,28.07,1e-6,2.28571e-06,2.28571,5,140.35,73.1119,0.0428657,2.65916,0.05,21,1.4,1.45,9.077,0
1.00,1.61,1e2,0.0176406,1.76406,5,8.05,6.525,0.766284,1.23372,0.05,15,1.41,1.46,5.351,0
10.83,45.20,1e6,1.77778e-06,1.77778,5,226,120.249,0.00731869,3.58262,0.05,19,1.41,1.47,17.57,1
2.59,7.88,1e-6,2.28571e-06,2.28571,5,39.4,22.9778,0.125474,2.56082,0.05,18,1.41,1.46,9.282,0
20.43,28.07,1e-4,0.000228542,2.28542,5,140.35,88.7497,0.00642085,3.68217,0.05,28,1.42,1.47,11,0
1.89,17.43,1e-4,0.000228542,2.28542,5,87.15,46.4018,0.0750995,2.47398,0.05,20,1.39,1.45,7.806,0
5.74,6.72,1e-4,0.000228542,2.28542,5,33.6,23.5868,0.0768746,2.96527,0.05,22,1.41,1.47,7.33,0
4.89,62.10,1e-6,2.28571e-06,2.28571,5,310.5,159.203,0.0107626,3.26825,0.05,22,1.41,1.46,7.894,0
2.21,2.59,1e2,0.0176406,1.76406,5,12.95,10.0124,0.347105,1.98679,0.05,16,1.42,1.47,6.218,0
1.17,2.59,1e4,0.000177764,1.77764,5,12.95,9.04355,0.513459,1.55593,0.05,16,1.4,1.45,13.93,0
72.79,100.00,1e-2,0.022567,2.2567,5,500,312.261,0.000536712,3.90672,0.05,21,1.42,1.47,10.32,1
1.89,45.20,1e-6,2.28571e-06,2.28571,5,226,115.808,0.0299585,2.5593,0.05,21,1.39,1.44,7.832,0
20.43,28.07,1e-6,2.28571e-06,2.28571,5,140.35,88.7497,0.00642085,3.68217,0.05,25,1.42,1.47,9.594,1
1.00,7.88,1e-2,0.022567,2.2567,5,39.4,22.2,0.225225,1.77477,0.05,18,1.37,1.42,8.782,1
6.72,52.98,1e-2,0.022567,2.2567,5,264.9,137.269,0.00959864,3.41736,0.05,23,1.41,1.46,8.96,0
2.21,14.87,1e-6,2.28571e-06,2.28571,5,74.35,40.1464,0.0785196,2.58037,0.05,20,1.4,1.45,6.905,0
6.72,45.20,1e-4,0.000228542,2.28542,5,226,117.895,0.011215,3.4065,0.05,25,1.41,1.47,9.086,1
7.88,17.43,1e0,1,1,5,87.15,50.337,0.0244412,3.35695,0.05,19,1.41,1.47,8.649,0
3.04,62.10,1e2,0.0176406,1.76406,5,310.5,158.471,0.015691,2.9622,0.05,21,1.4,1.45,10.78,0
1.00,20.43,1e-4,0.000228542,2.28542,5,102.15,53.575,0.0933271,1.90667,0.05,20,1.36,1.41,11.36,1
1.89,2.21,1e2,0.0176406,1.76406,5,11.05,8.7723,0.431179,1.80099,0.05,16,1.43,1.48,8.052,0
1.37,2.21,1e4,0.000177764,1.77764,5,11.05,8.22516,0.525783,1.59191,0.05,15,1.42,1.47,14.59,0
2.59,85.32,1e2,0.0176406,1.76406,5,426.6,216.348,0.0129079,2.85236,0.05,21,1.4,1.45,7.821,0
6.72,28.07,1e4,0.000177764,1.77764,5,140.35,75.3945,0.0178237,3.36209,0.05,23,1.41,1.47,9.898,0
7.88,52.98,1e-4,0.000228542,2.28542,5,264.9,137.845,0.00834477,3.48379,0.05,24,1.41,1.47,12.63,1
1.89,28.07,1e4,0.000177764,1.77764,5,140.35,72.9893,0.0476121,2.52593,0.05,20,1.39,1.44,8.381,0
10.83,38.57,1e-6,2.28571e-06,2.28571,5,192.85,103.942,0.00854494,3.56933,0.05,22,1.41,1.47,14.13,0
4.89,28.07,1e2,0.0176406,1.76406,5,140.35,74.3423,0.0233614,3.20665,0.05,21,1.41,1.46,7.291,0
2.59,52.98,1e4,0.000177764,1.77764,5,264.9,135.51,0.0206411,2.83233,0.05,20,1.4,1.45,7.394,0
1.17,3.56,1e6,1.77778e-06,1.77778,5,17.8,11.4638,0.404236,1.68373,0.05,16,1.38,1.43,7.92,0
1.89,17.43,1e4,0.000177764,1.77764,5,87.15,46.4018,0.0750995,2.47398,0.05,20,1.39,1.45,7.442,0
1.89,32.90,1e4,0.000177764,1.77764,5,164.5,85.062,0.0408284,2.53875,0.05,20,1.39,1.44,8.944,0
1.89,4.18,1e-4,0.000228542,2.28542,5,20.9,13.4155,0.267197,2.11091,0.05,18,1.41,1.46,9.614,0
38.57,72.79,1e2,0.0176406,1.76406,5,363.95,210.479,0.00136992,3.84608,0.05,23,1.42,1.47,15.95,0
1.37,3.04,1e-6,2.28571e-06,2.28571,5,15.2,10.2682,0.417763,1.7399,0.05,16,1.4,1.45,13.88,0
5.74,62.10,1e-2,0.022567,2.2567,5,310.5,159.566,0.00940526,3.35254,0.05,21,1.41,1.46,7.24,1
1.17,32.90,1e-2,0.022567,2.2567,5,164.5,84.8084,0.0543752,2.09306,0.05,21,1.36,1.41,21.99,0
32.90,62.10,1e4,0.000177764,1.77764,5,310.5,179.802,0.00186995,3.82048,0.05,23,1.42,1.47,8.871,0
4.89,5.74,1e-4,0.000228542,2.28542,5,28.7,20.3465,0.100759,2.82817,0.05,21,1.41,1.47,7.214,0
1.17,4.89,1e6,1.77778e-06,1.77778,5,24.45,14.7863,0.312957,1.79052,0.05,16,1.38,1.43,10.54,0
10.83,72.79,1e2,0.0176406,1.76406,5,363.95,188.641,0.00458224,3.61225,0.05,20,1.41,1.47,16.37,1
1.00,1.89,1e-2,0.022567,2.2567,5,9.45,7.225,0.692042,1.30796,0.05,17,1.4,1.46,5.734,1
3.56,45.20,1e2,0.0176406,1.76406,5,226,116.447,0.0189869,3.05521,0.05,22,1.4,1.45,10.61,0
4.18,52.98,1e2,0.0176406,1.76406,5,264.9,136.133,0.0143053,3.168,0.05,21,1.4,1.46,10.53,0
2.59,38.57,1e4,0.000177764,1.77764,5,192.85,99.4966,0.0281579,2.81287,0.05,21,1.4,1.45,8.636,0
1.00,14.87,1e-6,2.28571e-06,2.28571,5,74.35,39.675,0.126024,1.87398,0.05,17,1.36,1.41,16.03,1
2.59,28.07,1e4,0.000177764,1.77764,5,140.35,73.2639,0.0383284,2.78652,0.05,21,1.4,1.45,8.366,0
20.43,52.98,1e6,1.77778e-06,1.77778,5,264.9,146.379,0.00345784,3.7427,0.05,23,1.41,1.47,10,0
3.04,20.43,1e6,1.77778e-06,1.77778,5,102.15,54.3948,0.0462015,2.86945,0.05,20,1.4,1.46,11.05,0
